1,543 Sofa Street,
2,72227 Eagan Place,66 Randy Hill
3,968 Fair Oaks Lane,6055 Monument Place
4,569 Buhler Drive,
5,27008 Union Street,79 Browning Pass
6,2498 Marcy Parkway,
7,99 Debs Avenue,7863 Blue Bill Park Place
8,05531 Cascade Terrace,
9,80 Lakeland Center,05285 Mandrake Terrace
10,6401 Mccormick Crossing,4680 Grover Terrace
11,8 Corry Road,
12,9533 Kropf Park,0322 Fremont Court
13,17523 Coolidge Plaza,3 Laurel Center
14,9208 Fremont Hill,
15,7 Londonderry Plaza,
16,526 Bunker Hill Place,
17,55 Buell Hill,9921 Manufacturers Road
18,21311 Morning Drive,68702 Sutteridge Pass
19,5400 Oakridge Point,
20,931 Dixon Circle,
21,76950 Delaware Point,
22,57159 Spaight Street,
23,8229 Center Terrace,
24,82 Ryan Street,40070 Dwight Road
25,6779 Lyons Trail,
26,76865 Stang Court,
27,6 Cardinal Crossing,
28,22861 Hansons Terrace,
29,5857 Orin Plaza,
30,77372 Victoria Road,5324 Mcguire Place
31,1 Ridge Oak Alley,
32,36 Melrose Circle,
33,4 Vahlen Drive,
34,5275 Twin Pines Point,
35,1 Eagle Crest Way,455 Mcguire Trail
36,6467 Duke Lane,
37,168 Knutson Way,
38,35834 Buhler Pass,77 Washington Place
39,61922 Golden Leaf Avenue,
40,67 Trailsway Crossing,6147 Boyd Drive
41,8859 Dakota Street,943 Manufacturers Drive
42,67 Montana Hill,
43,8092 Forest Street,
44,7563 Grasskamp Circle,
45,7 Messerschmidt Court,
46,4 Comanche Terrace,7524 Nobel Parkway
47,816 Graedel Avenue,
48,0 Lerdahl Lane,84379 Ludington Circle
49,5 Fremont Park,
50,17 Kings Trail,"
"
